Product Name,Specifications,Price,MRP,Image URL
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.']","₹28,999","₹42,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/5/c/k/-original-imaggsnkne4n5mvh.jpeg?q=70
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.']","₹34,999","₹44,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/l/d/q/-original-imaggsnkparsege3.jpeg?q=70
HUIDI 80 cm (32 inch) HD Ready LED TV with Bezel Less Display,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']","₹6,899","₹17,599",https://rukminim1.flixcart.com/image/312/312/ksez24w0/television/s/l/h/hd6fn-huidi-original-imag5znd5asrurfg.jpeg?q=70
Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black),"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel']","₹27,990","₹45,190",https://rukminim1.flixcart.com/image/312/312/xif0q/television/r/r/h/-original-imagn3yhkfp4xczz.jpeg?q=70
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"['Operating System: Tizen', 'Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']","₹31,990","₹47,900",https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70
OnePlus Y1S 101 cm (40 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Warranty on Product and 1 Year Additional Warranty for Panel']","₹21,999","₹29,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/g/e/n/-original-imagznhnb9zzb9ec.jpeg?q=70
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less Display,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product & 6 Months on Accessories']","₹9,999","₹15,499",https://rukminim1.flixcart.com/image/312/312/kj0bp8w0-0/television/j/2/6/32path0011bl-thomson-original-imafyz3fsc47exdc.jpeg?q=70
Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV with 20 W Sound Output,"['Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product and 6 Months Warranty on Accessories']","₹6,999","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/s/e/i/24alpha001-thomson-original-imagn23zufegc8n5.jpeg?q=70
"Acer I Series 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Android 11, 30W Dolby Audio, ME...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '2 Years Warranty']","₹28,999","₹40,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/s/q/g/-original-imagkcda23esghdh.jpeg?q=70
SONY 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Manufacturer Warranty']","₹57,990","₹99,900",https://rukminim1.flixcart.com/image/312/312/xif0q/television/d/k/e/-original-imagm2e6ztgrawkg.jpeg?q=70
MOTOROLA ZX3 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"['Operating System: Android', 'Ultra HD (4K) 3840×2160 Pixels', '1 Year Warranty on Product']","₹39,999","₹60,999",https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/i/g/b/43uhdadmrs3p-motorola-original-imag78szkrf3za6b.jpeg?q=70
